metric,category,count,amount,section,dtype,map_kind,geo_level,geo_name,year,quarter,registeredUsers,appOpens,brand,brand_count,brand_pct,name,level,period,geo,section_type
transactions,Peer-to-peer payments,693998661.0,2320557268853.593,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Merchant payments,566355270.0,231298042209.83606,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Recharge & bill payments,351300991.0,140373550367.1558,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Financial Services,1358171.0,773848137.0300016,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Others,10027019.0,4116905195.8207293,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Peer-to-peer payments,631031364.0,2243915932390.771,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Recharge & bill payments,448842692.0,171590686463.15784,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Merchant payments,363275861.0,226908226049.51398,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Financial Services,1682062.0,1751767444.1000087,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Others,3779461.0,1987466180.2098684,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Peer-to-peer payments,916790263.0,3287051873253.504,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Merchant payments,672019839.0,405291207894.2984,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Recharge & bill payments,436172619.0,204262355709.72183,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Financial Services,2531978.0,2673063432.9600067,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Others,5541374.0,2789907563.6502213,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Peer-to-peer payments,1249512647.0,4474548495095.518,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Merchant payments,1127490136.0,684873639322.252,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Recharge & bill payments,479784084.0,227875840842.1121,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Financial Services,2942567.0,3259168195.749941,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Others,9556404.0,5323095366.309718,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Peer-to-peer payments,18324.0,142332401.79234773,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Recharge & bill payments,18268.0,10850414.023977457,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Merchant payments,4424.0,7752871.558217709,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Financial Services,66.0,208231.73071652642,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Others,216.0,332393.19201521645,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Recharge & bill payments,38125.0,17659622.73418829,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Peer-to-peer payments,20303.0,141728757.73517442,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Merchant payments,4004.0,9236375.740471343,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Financial Services,175.0,706932.1397115812,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Others,355.0,313313.0646014327,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Recharge & bill payments,59310.0,24756220.875469353,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Peer-to-peer payments,40697.0,289078946.7312394,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Merchant payments,16096.0,22682992.238478824,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Financial Services,572.0,961836.7129860274,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Others,808.0,539449.7721868362,aggregated,transaction,,country,india,2020,3,,,,,,,,2020Q3,country:india,aggregated/transaction
transactions,Peer-to-peer payments,81439.0,533316526.1814983,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Recharge & bill payments,80811.0,33710030.534383245,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Merchant payments,59391.0,56867468.940003954,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Financial Services,965.0,1880546.9672370641,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Others,1925.0,1508083.6917299272,aggregated,transaction,,country,india,2020,4,,,,,,,,2020Q4,country:india,aggregated/transaction
transactions,Peer-to-peer payments,65452143.0,223088554055.04755,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Merchant payments,31408022.0,18603161784.496994,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Recharge & bill payments,30449644.0,10813530777.973532,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Financial Services,75238.0,43739133.169823855,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Others,292310.0,188228538.37489766,aggregated,transaction,,country,india,2020,1,,,,,,,,2020Q1,country:india,aggregated/transaction
transactions,Peer-to-peer payments,73609921.0,262731724130.7907,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Recharge & bill payments,41013987.0,16991006436.573467,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Merchant payments,29976765.0,22625596525.44269,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Financial Services,140941.0,145274999.15679634,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
transactions,Others,176241.0,90087654.60009979,aggregated,transaction,,country,india,2020,2,,,,,,,,2020Q2,country:india,aggregated/transaction
