section,type,geo_level,country,state,year,quarter,period,source_path,category,count,amount,brand,registeredUsers,appOpens,brand_count,brand_percentage
aggregated,insurance,country,india,,2020,2,2020-Q2,data/aggregated/insurance/country/india/2020/2.json,Insurance,185348,33732166.0,,,,,
aggregated,insurance,country,india,,2020,3,2020-Q3,data/aggregated/insurance/country/india/2020/3.json,Insurance,354284,89495076.0,,,,,
aggregated,insurance,country,india,,2020,4,2020-Q4,data/aggregated/insurance/country/india/2020/4.json,Insurance,248626,170979933.0,,,,,
aggregated,insurance,country,india,,2021,1,2021-Q1,data/aggregated/insurance/country/india/2021/1.json,Insurance,318119,206307024.0,,,,,
aggregated,insurance,country,india,,2021,2,2021-Q2,data/aggregated/insurance/country/india/2021/2.json,Insurance,363989,295066678.0,,,,,
aggregated,insurance,country,india,,2021,3,2021-Q3,data/aggregated/insurance/country/india/2021/3.json,Insurance,374867,342403352.0,,,,,
aggregated,insurance,country,india,,2021,4,2021-Q4,data/aggregated/insurance/country/india/2021/4.json,Insurance,526327,655431877.0,,,,,
aggregated,insurance,country,india,,2022,1,2022-Q1,data/aggregated/insurance/country/india/2022/1.json,Insurance,617606,887447241.0,,,,,
aggregated,insurance,country,india,,2022,2,2022-Q2,data/aggregated/insurance/country/india/2022/2.json,Insurance,630758,857034846.0,,,,,
aggregated,insurance,country,india,,2022,3,2022-Q3,data/aggregated/insurance/country/india/2022/3.json,Insurance,806491,1054717869.0,,,,,
aggregated,insurance,country,india,,2022,4,2022-Q4,data/aggregated/insurance/country/india/2022/4.json,Insurance,1035364,1439762739.0,,,,,
aggregated,insurance,country,india,,2023,1,2023-Q1,data/aggregated/insurance/country/india/2023/1.json,Insurance,923173,1408801224.0,,,,,
aggregated,insurance,country,india,,2023,2,2023-Q2,data/aggregated/insurance/country/india/2023/2.json,Insurance,893850,1347399873.0,,,,,
aggregated,insurance,country,india,,2023,3,2023-Q3,data/aggregated/insurance/country/india/2023/3.json,Insurance,1010211,1445234680.0,,,,,
aggregated,insurance,country,india,,2023,4,2023-Q4,data/aggregated/insurance/country/india/2023/4.json,Insurance,1159063,1855299766.0,,,,,
aggregated,insurance,country,india,,2024,1,2024-Q1,data/aggregated/insurance/country/india/2024/1.json,Insurance,1273789,1931955654.0,,,,,
aggregated,insurance,country,india,,2024,2,2024-Q2,data/aggregated/insurance/country/india/2024/2.json,Insurance,1105041,1759627894.0,,,,,
aggregated,insurance,country,india,,2024,3,2024-Q3,data/aggregated/insurance/country/india/2024/3.json,Insurance,1213629,1941265641.0,,,,,
aggregated,insurance,country,india,,2024,4,2024-Q4,data/aggregated/insurance/country/india/2024/4.json,Insurance,1475429,2293956286.0,,,,,
