section,type,geo_level,country,state,year,quarter,period,source_path,category,count,amount,brand,registeredUsers,appOpens,brand_count,brand_percentage
aggregated,insurance,state,india,andaman-&-nicobar-islands,2020,2,2020-Q2,data/aggregated/insurance/country/india/state/andaman-&-nicobar-islands/2020/2.json,Insurance,6,1360.0,,,,,
aggregated,insurance,state,india,andaman-&-nicobar-islands,2020,3,2020-Q3,data/aggregated/insurance/country/india/state/andaman-&-nicobar-islands/2020/3.json,Insurance,41,15380.0,,,,,
aggregated,insurance,state,india,andaman-&-nicobar-islands,2020,4,2020-Q4,data/aggregated/insurance/country/india/state/andaman-&-nicobar-islands/2020/4.json,Insurance,124,157975.0,,,,,
aggregated,insurance,state,india,andaman-&-nicobar-islands,2021,1,2021-Q1,data/aggregated/insurance/country/india/state/andaman-&-nicobar-islands/2021/1.json,Insurance,225,244266.0,,,,,
aggregated,insurance,state,india,andaman-&-nicobar-islands,2021,2,2021-Q2,data/aggregated/insurance/country/india/state/andaman-&-nicobar-islands/2021/2.json,Insurance,137,181504.0,,,,,
aggregated,insurance,state,india,andaman-&-nicobar-islands,2021,3,2021-Q3,data/aggregated/insurance/country/india/state/andaman-&-nicobar-islands/2021/3.json,Insurance,230,305235.0,,,,,
aggregated,insurance,state,india,andaman-&-nicobar-islands,2021,4,2021-Q4,data/aggregated/insurance/country/india/state/andaman-&-nicobar-islands/2021/4.json,Insurance,757,1056380.0,,,,,
aggregated,insurance,state,india,andaman-&-nicobar-islands,2022,1,2022-Q1,data/aggregated/insurance/country/india/state/andaman-&-nicobar-islands/2022/1.json,Insurance,768,1131287.0,,,,,
aggregated,insurance,state,india,andaman-&-nicobar-islands,2022,2,2022-Q2,data/aggregated/insurance/country/india/state/andaman-&-nicobar-islands/2022/2.json,Insurance,501,779740.0,,,,,
aggregated,insurance,state,india,andaman-&-nicobar-islands,2022,3,2022-Q3,data/aggregated/insurance/country/india/state/andaman-&-nicobar-islands/2022/3.json,Insurance,643,902466.0,,,,,
aggregated,insurance,state,india,andaman-&-nicobar-islands,2022,4,2022-Q4,data/aggregated/insurance/country/india/state/andaman-&-nicobar-islands/2022/4.json,Insurance,901,1441210.0,,,,,
aggregated,insurance,state,india,andaman-&-nicobar-islands,2023,1,2023-Q1,data/aggregated/insurance/country/india/state/andaman-&-nicobar-islands/2023/1.json,Insurance,1004,1439198.0,,,,,
aggregated,insurance,state,india,andaman-&-nicobar-islands,2023,2,2023-Q2,data/aggregated/insurance/country/india/state/andaman-&-nicobar-islands/2023/2.json,Insurance,768,1233395.0,,,,,
aggregated,insurance,state,india,andaman-&-nicobar-islands,2023,3,2023-Q3,data/aggregated/insurance/country/india/state/andaman-&-nicobar-islands/2023/3.json,Insurance,795,1251145.0,,,,,
aggregated,insurance,state,india,andaman-&-nicobar-islands,2023,4,2023-Q4,data/aggregated/insurance/country/india/state/andaman-&-nicobar-islands/2023/4.json,Insurance,1145,1757821.0,,,,,
aggregated,insurance,state,india,andaman-&-nicobar-islands,2024,1,2024-Q1,data/aggregated/insurance/country/india/state/andaman-&-nicobar-islands/2024/1.json,Insurance,1371,1964556.0,,,,,
aggregated,insurance,state,india,andaman-&-nicobar-islands,2024,2,2024-Q2,data/aggregated/insurance/country/india/state/andaman-&-nicobar-islands/2024/2.json,Insurance,1097,1744694.0,,,,,
aggregated,insurance,state,india,andaman-&-nicobar-islands,2024,3,2024-Q3,data/aggregated/insurance/country/india/state/andaman-&-nicobar-islands/2024/3.json,Insurance,1191,1752800.0,,,,,
aggregated,insurance,state,india,andaman-&-nicobar-islands,2024,4,2024-Q4,data/aggregated/insurance/country/india/state/andaman-&-nicobar-islands/2024/4.json,Insurance,1293,2026380.0,,,,,
