section,type,geo_level,country,state,year,quarter,period,source_path,category,count,amount,brand,registeredUsers,appOpens,brand_count,brand_percentage
aggregated,transaction,country,india,,2018,1,2018-Q1,data/aggregated/transaction/country/india/2018/1.json,Financial Services,3762820,815853105.1000277,,,,,
aggregated,transaction,country,india,,2018,1,2018-Q1,data/aggregated/transaction/country/india/2018/1.json,Merchant payments,5368669,4656678915.140091,,,,,
aggregated,transaction,country,india,,2018,1,2018-Q1,data/aggregated/transaction/country/india/2018/1.json,Others,5761576,4643217301.269438,,,,,
aggregated,transaction,country,india,,2018,1,2018-Q1,data/aggregated/transaction/country/india/2018/1.json,Peer-to-peer payments,46982705,147245883542.77402,,,,,
aggregated,transaction,country,india,,2018,1,2018-Q1,data/aggregated/transaction/country/india/2018/1.json,Recharge & bill payments,72550406,14472713558.652578,,,,,
aggregated,transaction,country,india,,2018,2,2018-Q2,data/aggregated/transaction/country/india/2018/2.json,Financial Services,5186569,1176991419.239996,,,,,
aggregated,transaction,country,india,,2018,2,2018-Q2,data/aggregated/transaction/country/india/2018/2.json,Merchant payments,10613941,9052859939.339659,,,,,
aggregated,transaction,country,india,,2018,2,2018-Q2,data/aggregated/transaction/country/india/2018/2.json,Others,4973199,5027454207.140578,,,,,
aggregated,transaction,country,india,,2018,2,2018-Q2,data/aggregated/transaction/country/india/2018/2.json,Peer-to-peer payments,74558816,264767671095.31842,,,,,
aggregated,transaction,country,india,,2018,2,2018-Q2,data/aggregated/transaction/country/india/2018/2.json,Recharge & bill payments,92033715,24351225616.36898,,,,,
aggregated,transaction,country,india,,2018,3,2018-Q3,data/aggregated/transaction/country/india/2018/3.json,Financial Services,6218596,891447809.4200314,,,,,
aggregated,transaction,country,india,,2018,3,2018-Q3,data/aggregated/transaction/country/india/2018/3.json,Merchant payments,25175938,12433150984.830223,,,,,
aggregated,transaction,country,india,,2018,3,2018-Q3,data/aggregated/transaction/country/india/2018/3.json,Others,5594554,4449556277.54975,,,,,
aggregated,transaction,country,india,,2018,3,2018-Q3,data/aggregated/transaction/country/india/2018/3.json,Peer-to-peer payments,202021587,425967421714.0399,,,,,
aggregated,transaction,country,india,,2018,3,2018-Q3,data/aggregated/transaction/country/india/2018/3.json,Recharge & bill payments,102290514,31364311860.394596,,,,,
aggregated,transaction,country,india,,2018,4,2018-Q4,data/aggregated/transaction/country/india/2018/4.json,Financial Services,5216165,868584631.5900131,,,,,
aggregated,transaction,country,india,,2018,4,2018-Q4,data/aggregated/transaction/country/india/2018/4.json,Merchant payments,71498510,30497289208.339787,,,,,
aggregated,transaction,country,india,,2018,4,2018-Q4,data/aggregated/transaction/country/india/2018/4.json,Others,8246415,5802659774.449921,,,,,
aggregated,transaction,country,india,,2018,4,2018-Q4,data/aggregated/transaction/country/india/2018/4.json,Peer-to-peer payments,200235002,594995709377.7327,,,,,
aggregated,transaction,country,india,,2018,4,2018-Q4,data/aggregated/transaction/country/india/2018/4.json,Recharge & bill payments,131917248,39578607327.024284,,,,,
aggregated,transaction,country,india,,2019,1,2019-Q1,data/aggregated/transaction/country/india/2019/1.json,Financial Services,4627353,603852042.0000324,,,,,
aggregated,transaction,country,india,,2019,1,2019-Q1,data/aggregated/transaction/country/india/2019/1.json,Merchant payments,110496541,40575915112.522,,,,,
aggregated,transaction,country,india,,2019,1,2019-Q1,data/aggregated/transaction/country/india/2019/1.json,Others,8526177,5484252454.8204155,,,,,
aggregated,transaction,country,india,,2019,1,2019-Q1,data/aggregated/transaction/country/india/2019/1.json,Peer-to-peer payments,404841331,887893108631.5128,,,,,
aggregated,transaction,country,india,,2019,1,2019-Q1,data/aggregated/transaction/country/india/2019/1.json,Recharge & bill payments,180504739,55473071028.87885,,,,,
aggregated,transaction,country,india,,2019,2,2019-Q2,data/aggregated/transaction/country/india/2019/2.json,Financial Services,2650384,545329308.0899862,,,,,
aggregated,transaction,country,india,,2019,2,2019-Q2,data/aggregated/transaction/country/india/2019/2.json,Merchant payments,206467182,73415840739.88434,,,,,
aggregated,transaction,country,india,,2019,2,2019-Q2,data/aggregated/transaction/country/india/2019/2.json,Others,11656557,6969423863.830339,,,,,
aggregated,transaction,country,india,,2019,2,2019-Q2,data/aggregated/transaction/country/india/2019/2.json,Peer-to-peer payments,384711008,1196425281586.9927,,,,,
aggregated,transaction,country,india,,2019,2,2019-Q2,data/aggregated/transaction/country/india/2019/2.json,Recharge & bill payments,209898072,76865848586.98372,,,,,
aggregated,transaction,country,india,,2019,3,2019-Q3,data/aggregated/transaction/country/india/2019/3.json,Financial Services,2870292,617120839.9299941,,,,,
aggregated,transaction,country,india,,2019,3,2019-Q3,data/aggregated/transaction/country/india/2019/3.json,Merchant payments,376320628,123209398484.44376,,,,,
aggregated,transaction,country,india,,2019,3,2019-Q3,data/aggregated/transaction/country/india/2019/3.json,Others,13804992,6705143103.510092,,,,,
aggregated,transaction,country,india,,2019,3,2019-Q3,data/aggregated/transaction/country/india/2019/3.json,Peer-to-peer payments,461911865,1440512511470.7004,,,,,
aggregated,transaction,country,india,,2019,3,2019-Q3,data/aggregated/transaction/country/india/2019/3.json,Recharge & bill payments,240103872,101520929811.06812,,,,,
aggregated,transaction,country,india,,2019,4,2019-Q4,data/aggregated/transaction/country/india/2019/4.json,Financial Services,2476840,551204225.4200497,,,,,
aggregated,transaction,country,india,,2019,4,2019-Q4,data/aggregated/transaction/country/india/2019/4.json,Merchant payments,456578271,174239646473.03162,,,,,
aggregated,transaction,country,india,,2019,4,2019-Q4,data/aggregated/transaction/country/india/2019/4.json,Others,12583379,4811822509.649999,,,,,
aggregated,transaction,country,india,,2019,4,2019-Q4,data/aggregated/transaction/country/india/2019/4.json,Peer-to-peer payments,703497002,1963952535223.0903,,,,,
aggregated,transaction,country,india,,2019,4,2019-Q4,data/aggregated/transaction/country/india/2019/4.json,Recharge & bill payments,285310032,116344996244.26738,,,,,
aggregated,transaction,country,india,,2020,1,2020-Q1,data/aggregated/transaction/country/india/2020/1.json,Financial Services,1358171,773848137.0300016,,,,,
aggregated,transaction,country,india,,2020,1,2020-Q1,data/aggregated/transaction/country/india/2020/1.json,Merchant payments,566355270,231298042209.83606,,,,,
aggregated,transaction,country,india,,2020,1,2020-Q1,data/aggregated/transaction/country/india/2020/1.json,Others,10027019,4116905195.8207293,,,,,
aggregated,transaction,country,india,,2020,1,2020-Q1,data/aggregated/transaction/country/india/2020/1.json,Peer-to-peer payments,693998661,2320557268853.593,,,,,
aggregated,transaction,country,india,,2020,1,2020-Q1,data/aggregated/transaction/country/india/2020/1.json,Recharge & bill payments,351300991,140373550367.1558,,,,,
aggregated,transaction,country,india,,2020,2,2020-Q2,data/aggregated/transaction/country/india/2020/2.json,Financial Services,1682062,1751767444.1000087,,,,,
aggregated,transaction,country,india,,2020,2,2020-Q2,data/aggregated/transaction/country/india/2020/2.json,Merchant payments,363275861,226908226049.51398,,,,,
aggregated,transaction,country,india,,2020,2,2020-Q2,data/aggregated/transaction/country/india/2020/2.json,Others,3779461,1987466180.2098684,,,,,
aggregated,transaction,country,india,,2020,2,2020-Q2,data/aggregated/transaction/country/india/2020/2.json,Peer-to-peer payments,631031364,2243915932390.771,,,,,
aggregated,transaction,country,india,,2020,2,2020-Q2,data/aggregated/transaction/country/india/2020/2.json,Recharge & bill payments,448842692,171590686463.15784,,,,,
