section,type,geo_level,country,state,year,quarter,period,source_path,category,count,amount,brand,registeredUsers,appOpens,brand_count,brand_percentage
aggregated,user,country,india,,2018,1,2018-Q1,data/aggregated/user/country/india/2018/1.json,,,,Apple,,,1825153.0,0.03893421601285741
aggregated,user,country,india,,2018,1,2018-Q1,data/aggregated/user/country/india/2018/1.json,,,,Huawei,,,808774.0,0.01725279010668297
aggregated,user,country,india,,2018,1,2018-Q1,data/aggregated/user/country/india/2018/1.json,,,,Lenovo,,,1246507.0,0.026590522986039446
aggregated,user,country,india,,2018,1,2018-Q1,data/aggregated/user/country/india/2018/1.json,,,,Motorola,,,1593250.0,0.033987254582210406
aggregated,user,country,india,,2018,1,2018-Q1,data/aggregated/user/country/india/2018/1.json,,,,OnePlus,,,1536418.0,0.03277491273227086
aggregated,user,country,india,,2018,1,2018-Q1,data/aggregated/user/country/india/2018/1.json,,,,Oppo,,,4479351.0,0.09555364368434255
aggregated,user,country,india,,2018,1,2018-Q1,data/aggregated/user/country/india/2018/1.json,,,,Others,,,5581520.0,0.1190651443249327
aggregated,user,country,india,,2018,1,2018-Q1,data/aggregated/user/country/india/2018/1.json,,,,Realme,,,2376866.0,0.05070337351313361
aggregated,user,country,india,,2018,1,2018-Q1,data/aggregated/user/country/india/2018/1.json,,,,Samsung,,,9609401.0,0.204988017052909
aggregated,user,country,india,,2018,1,2018-Q1,data/aggregated/user/country/india/2018/1.json,,,,Vivo,,,5894293.0,0.1257372269092363
aggregated,user,country,india,,2018,1,2018-Q1,data/aggregated/user/country/india/2018/1.json,,,,Xiaomi,,,11926334.0,0.25441289809538475
aggregated,user,country,india,,2018,1,2018-Q1,data/aggregated/user/country/india/2018/1.json,,,,,46877867.0,0.0,,
aggregated,user,country,india,,2018,2,2018-Q2,data/aggregated/user/country/india/2018/2.json,,,,Apple,,,2326897.0,0.03655866060609212
aggregated,user,country,india,,2018,2,2018-Q2,data/aggregated/user/country/india/2018/2.json,,,,Huawei,,,1104740.0,0.017356941333447166
aggregated,user,country,india,,2018,2,2018-Q2,data/aggregated/user/country/india/2018/2.json,,,,Lenovo,,,1627153.0,0.025564747507596863
aggregated,user,country,india,,2018,2,2018-Q2,data/aggregated/user/country/india/2018/2.json,,,,Motorola,,,2099718.0,0.03298937500478214
aggregated,user,country,india,,2018,2,2018-Q2,data/aggregated/user/country/india/2018/2.json,,,,OnePlus,,,1890141.0,0.029696640339757014
aggregated,user,country,india,,2018,2,2018-Q2,data/aggregated/user/country/india/2018/2.json,,,,Oppo,,,6246581.0,0.09814213294678001
aggregated,user,country,india,,2018,2,2018-Q2,data/aggregated/user/country/india/2018/2.json,,,,Others,,,7462707.0,0.11724909715200456
aggregated,user,country,india,,2018,2,2018-Q2,data/aggregated/user/country/india/2018/2.json,,,,Realme,,,3165738.0,0.04973797340828102
aggregated,user,country,india,,2018,2,2018-Q2,data/aggregated/user/country/india/2018/2.json,,,,Samsung,,,12943051.0,0.2033526231355927
aggregated,user,country,india,,2018,2,2018-Q2,data/aggregated/user/country/india/2018/2.json,,,,Vivo,,,8365074.0,0.13142648828497586
aggregated,user,country,india,,2018,2,2018-Q2,data/aggregated/user/country/india/2018/2.json,,,,Xiaomi,,,16416511.0,0.25792532028069054
aggregated,user,country,india,,2018,2,2018-Q2,data/aggregated/user/country/india/2018/2.json,,,,,63648311.0,0.0,,
aggregated,user,country,india,,2018,3,2018-Q3,data/aggregated/user/country/india/2018/3.json,,,,Apple,,,2774989.0,0.034682614450081785
aggregated,user,country,india,,2018,3,2018-Q3,data/aggregated/user/country/india/2018/3.json,,,,Huawei,,,1444125.0,0.018049091579362787
aggregated,user,country,india,,2018,3,2018-Q3,data/aggregated/user/country/india/2018/3.json,,,,Lenovo,,,1857680.0,0.023217821480239355
aggregated,user,country,india,,2018,3,2018-Q3,data/aggregated/user/country/india/2018/3.json,,,,Motorola,,,2529272.0,0.03161157237574176
aggregated,user,country,india,,2018,3,2018-Q3,data/aggregated/user/country/india/2018/3.json,,,,OnePlus,,,2231557.0,0.027890644270799327
aggregated,user,country,india,,2018,3,2018-Q3,data/aggregated/user/country/india/2018/3.json,,,,Oppo,,,8103650.0,0.10128175952712073
aggregated,user,country,india,,2018,3,2018-Q3,data/aggregated/user/country/india/2018/3.json,,,,Others,,,8900410.0,0.11123989625820226
aggregated,user,country,india,,2018,3,2018-Q3,data/aggregated/user/country/india/2018/3.json,,,,Realme,,,3962596.0,0.04952566993578579
aggregated,user,country,india,,2018,3,2018-Q3,data/aggregated/user/country/india/2018/3.json,,,,Samsung,,,16228372.0,0.20282688299971735
aggregated,user,country,india,,2018,3,2018-Q3,data/aggregated/user/country/india/2018/3.json,,,,Vivo,,,11118842.0,0.13896650048608344
aggregated,user,country,india,,2018,3,2018-Q3,data/aggregated/user/country/india/2018/3.json,,,,Xiaomi,,,20859459.0,0.2607075466368654
aggregated,user,country,india,,2018,3,2018-Q3,data/aggregated/user/country/india/2018/3.json,,,,,80010952.0,0.0,,
aggregated,user,country,india,,2018,4,2018-Q4,data/aggregated/user/country/india/2018/4.json,,,,Apple,,,3435529.0,0.03359534482267152
aggregated,user,country,india,,2018,4,2018-Q4,data/aggregated/user/country/india/2018/4.json,,,,Huawei,,,1899667.0,0.01857646025204559
aggregated,user,country,india,,2018,4,2018-Q4,data/aggregated/user/country/india/2018/4.json,,,,Lenovo,,,2257295.0,0.022073632296945332
