section,type,geo_level,country,state,year,quarter,period,source_path,category,count,amount,brand,registeredUsers,appOpens,brand_count,brand_percentage
aggregated,user,state,india,andaman-&-nicobar-islands,2018,1,2018-Q1,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2018/1.json,,,,Apple,,,229.0,0.03397626112759644
aggregated,user,state,india,andaman-&-nicobar-islands,2018,1,2018-Q1,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2018/1.json,,,,Huawei,,,158.0,0.02344213649851632
aggregated,user,state,india,andaman-&-nicobar-islands,2018,1,2018-Q1,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2018/1.json,,,,Lenovo,,,202.0,0.02997032640949555
aggregated,user,state,india,andaman-&-nicobar-islands,2018,1,2018-Q1,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2018/1.json,,,,Motorola,,,226.0,0.03353115727002967
aggregated,user,state,india,andaman-&-nicobar-islands,2018,1,2018-Q1,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2018/1.json,,,,OnePlus,,,332.0,0.04925816023738872
aggregated,user,state,india,andaman-&-nicobar-islands,2018,1,2018-Q1,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2018/1.json,,,,Oppo,,,501.0,0.07433234421364986
aggregated,user,state,india,andaman-&-nicobar-islands,2018,1,2018-Q1,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2018/1.json,,,,Others,,,684.0,0.10148367952522255
aggregated,user,state,india,andaman-&-nicobar-islands,2018,1,2018-Q1,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2018/1.json,,,,Realme,,,316.0,0.04688427299703264
aggregated,user,state,india,andaman-&-nicobar-islands,2018,1,2018-Q1,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2018/1.json,,,,Samsung,,,1445.0,0.21439169139465875
aggregated,user,state,india,andaman-&-nicobar-islands,2018,1,2018-Q1,data/aggregated/user/country/india/state/andaman-&-nicobar-islands/2018/1.json,,,,Vivo,,,982.0,0.1456973293768546
